url,file size,No of out links,Content-type
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport20-jul2012.jpg,35534,0,image/jpeg
http://www.keck.usc.edu/2015/12/,157803,105,text/html; charset=UTF-8
http://www.keck.usc.edu/research/grants-funding/grants/,136501,90,text/html; charset=UTF-8
http://keck.usc.edu/Research/Research_Institutes/Institute_for_Genetic_Medicine.aspx,59009,187,text/html; charset=utf-8
http://www.keck.usc.edu/2015/04/,149114,91,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/biochemistry-and-molecular-biology/,132417,77,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/leadership/faculty-council/,141433,93,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/12/NEI-NIH-marquee.jpg,465559,0,image/jpeg
http://www.keck.usc.edu/research/research-resources/policies-procedures/,137066,100,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/global-health/,130185,72,text/html; charset=UTF-8
http://www.keck.usc.edu/2014/09/,128632,69,text/html; charset=UTF-8
http://www.keck.usc.edu/research/research-training-education/training-career-development/,138665,97,text/html; charset=UTF-8
http://www.keck.usc.edu/research/research-training-education/,137839,98,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/neuroimaging-informatics/,143093,84,text/html; charset=UTF-8
http://www.keck.usc.edu/faculty-search/,128689,68,text/html; charset=UTF-8
http://www.keck.usc.edu/research/about-keck-school-of-medicine-research/awards-distinctions/,139531,94,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/medicine/,146914,87,text/html; charset=UTF-8
http://www.keck.usc.edu/research/webcast-archives/,132796,90,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/otolaryngology/,154645,96,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport23-jul2013.pdf,703680,0,application/pdf
http://www.keck.usc.edu/education/md-program/student-affairs/visiting-student-clerkships/international-applicants/,141717,117,text/html; charset=UTF-8
http://www.keck.usc.edu/category/uncategorized/,129137,71,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/student-affairs/visiting-student-clerkships/,147403,113,text/html; charset=UTF-8
http://www.keck.usc.edu/university-students-tackle-global-health-concerns/,150826,149,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/orthopaedic-surgery/,128653,69,text/html; charset=UTF-8
http://www.keck.usc.edu/education/student-services/student-life/,149477,116,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/12/student-marquee.jpg,606558,0,image/jpeg
http://www.keck.usc.edu/research/research-resources/space-facilities/,136993,92,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2014/10/icon-about-us1.png,1489,0,image/png
http://www.keck.usc.edu/wp-content/uploads/2016/02/Schaff-web.jpg,29947,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2014/12/CHLA-150x150.jpg,35716,0,image/jpeg
http://www.keck.usc.edu/keck-events/?ajaxCalendar=1&mo=3&yr=2016,157394,113,text/html; charset=UTF-8
http://www.keck.usc.edu/ukro-benefit-dinner-to-honor-usc-leaders/,148943,151,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport11-aug2010.pdf,811946,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport23-jul2013.jpg,38350,0,image/jpeg
http://www.keck.usc.edu/education/md-program/combined-degrees/mdmph-four-year-program/,148459,109,text/html; charset=UTF-8
http://www.keck.usc.edu/keck-school-of-medicine-web-services/,129162,69,text/html; charset=UTF-8
http://www.keck.usc.edu/research/institutes-centers-programs/,138407,96,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/2016-02-29/,149230,97,text/html; charset=UTF-8
http://www.keck.usc.edu/2015/03/,154447,94,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/revslider/home-scroller/scroller-whitecoat.jpg,144467,0,image/jpeg
http://www.keck.usc.edu/about-us/visiting-keck-school-of-medicine/,142307,98,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/alzheimer-disease-research-center/,132701,79,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/admissions/,165703,134,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport25-jan2014.jpg,29881,0,image/jpeg
http://www.keck.usc.edu/research/research-training-education/find-a-mentor/,138181,100,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/2016-02-05/,151799,100,text/html; charset=UTF-8
http://www.keck.usc.edu/research/about-keck-school-of-medicine-research/,149542,102,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/broad-center/,160452,100,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/Aisen-1-web-180x138.jpg,36993,0,image/jpeg
http://www.keck.usc.edu/education/md-program/combined-degrees/md-mba-program/,150770,113,text/html; charset=UTF-8
