url,statuscode
http://www.keck.usc.edu/wp-content/uploads/sites/9/2014/12/Carmen_Puliafito.jpg,200
http://www.keck.usc.edu/about-us/keck-school-history/,200
http://www.keck.usc.edu/category/news/urology/,200
http://www.keck.usc.edu/education/md-program/student-affairs/,200
http://www.keck.usc.edu/zilkha-neurogenetic-institute-researchers-paper-selected-as-best-of-2015/,200
http://www.keck.usc.edu/about-us/leadership/faculty-council/member-contact-information/,200
http://www.keck.usc.edu/category/news/education/,200
http://www.keck.usc.edu/2016/02/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport04-dec2008.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport28-dec2014.pdf,200
http://www.keck.usc.edu/privacy-policy/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport10-may2010.jpg,200
http://www.keck.usc.edu/wp-content/plugins/widgets-on-pages/wop.css,200
http://www.keck.usc.edu/wp-content/themes/Avada/css/animations.css?ver=4.3.2,200
http://www.keck.usc.edu/about-us/departments-institutes/clinical-departments/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport27-jul2014.jpg,200
http://www.keck.usc.edu/category/featured-people/,200
http://www.keck.usc.edu/category/news/translational-genomics/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport18-dec2011.jpg,200
http://www.keck.usc.edu/wp-content/uploads/revslider/landing-patients/Patients-slider2.jpg,200
http://www.keck.usc.edu/news/conjoined-twins-in-haiti-separated-by-team-of-keck-and-chla-surgeons/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport12-aug2010.jpg,200
http://www.keck.usc.edu/about-us/departments-institutes/,200
http://www.keck.usc.edu/category/news/family-medicine/,200
http://www.keck.usc.edu/about-us/distinguished-activities/,200
http://www.keck.usc.edu/?p=3492,301
http://www.keck.usc.edu/xmlrpc.php?rsd,200
http://www.keck.usc.edu/category/news/family-medicine/physician-assistant-program/,200
http://www.keck.usc.edu/wp-content/uploads/2015/12/john-carpten-marquee.jpg,200
http://www.keck.usc.edu/patients/feed/,200
http://www.keck.usc.edu/wp-content/uploads/revslider/landing-patients/Patients-Slider1.jpg,200
http://www.keck.usc.edu/2015/01/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport01-feb2008.pdf,200
http://www.keck.usc.edu/wp-content/uploads/2015/10/AlzKsom.jpg,200
http://www.keck.usc.edu/about-us/departments-institutes/institutes/feed/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport07-jul2009.jpg,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport21-dec2012.pdf,200
http://www.keck.usc.edu/?p=107,301
http://www.keck.usc.edu/category/news/preventive-medicine/,200
http://www.keck.usc.edu/wp-content/uploads/2015/11/Paul-Aisen.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2016/02/Stroke-Patient-1-web-180x138.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2014/12/home-page-main1.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2015/12/Carpten-300x224.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2016/02/CaseCompetitionWinningTeam-web-180x138.jpg,200
http://www.keck.usc.edu/news/class-of-2015-commencement/,200
http://www.keck.usc.edu/category/news/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport06-mar2009.pdf,200
http://www.keck.usc.edu/category/news/obstetrics-and-gynecology/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport11-aug2010.jpg,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport12-aug2010.pdf,200
http://www.keck.usc.edu/broadcenter/,200
http://www.keck.usc.edu/2015/09/,200
http://www.keck.usc.edu/category/news/research-news/,200
http://www.keck.usc.edu/wp-content/themes/Avada/css/media.css?ver=4.3.2,200
http://www.keck.usc.edu/about-us/,200
http://www.keck.usc.edu/category/news/pathology/,200
http://www.keck.usc.edu/research/research-training-education/research-compliance-training/,200
http://www.keck.usc.edu/wp-content/uploads/2015/12/NEI-NIH-marquee.jpg,200
http://www.keck.usc.edu/category/news/psychiatry/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport23-jul2013.pdf,200
http://www.keck.usc.edu/wp-content/uploads/2016/02/Aisen-1-web.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport28-dec2014.jpg,200
http://www.keck.usc.edu/2015/12/,200
http://keck.usc.edu/Research/Research_Institutes/Institute_for_Genetic_Medicine.aspx,200
