URL,Size,OutLinks,ResultType
http://www.keck.usc.edu/otolaryngology/support-us/,142760,98,text/html; charset=UTF-8
http://keck.usc.edu/About/Administrative_Offices/Office_of_Alumni_Affairs/Talk_-_The_Alumni_Link_for_Keck/TALK_Archives/TALK_-_2013_-_Summer_-_v10i2.aspx,75636,232,text/html; charset=utf-8
http://www.keck.usc.edu/news/usc-experts-receive-funds-for-global-study-of-type-1-diabetes/,151966,155,text/html; charset=UTF-8
http://www.keck.usc.edu/surgery/faculty/Steven-R.-DeMeester/,185034,225,text/html; charset=UTF-8
http://www.keck.usc.edu/surgery/faculty/Steven-Katz/,163055,161,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/faculty/Daniela-Micic/,143882,101,text/html; charset=UTF-8
http://keck.usc.edu/Students/Student_News.aspx,78065,205,text/html; charset=utf-8
http://www.keck.usc.edu/events-2/2016-03-29/?ajaxCalendar=1&mo=5&yr=2016,150769,102,text/html; charset=UTF-8
http://www.keck.usc.edu/news/family-medicine-receives-federal-grant-to-bolster-elder-patient-care/,153504,156,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/,152931,120,text/html; charset=UTF-8
http://www.keck.usc.edu/dermatology/news/,145016,103,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/diversity-inclusion/,150514,118,text/html; charset=UTF-8
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Emergency_Medicine/Copy_of_Faculty_Handbook.aspx,58985,198,text/html; charset=utf-8
http://www.keck.usc.edu/usc-researchers-to-study-long-term-health-effects-of-porter-ranch-gas-leak/,153703,155,text/html; charset=UTF-8
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Molecular_Microbiology_and_Immunology/Department_Events.aspx,57630,185,text/html; charset=utf-8
http://keck.usc.edu/en/About/Administrative_Offices/Office_of_Public_Relations_and_Marketing/News/Detail/2014__eli_and_edythe_broad_stem_cell_center__usc_stem_cell_researcher_min_yu_receives_the_nihs_new_innovator_award,78153,192,text/html; charset=utf-8
http://www.keck.usc.edu/locations/sullivan-center-center-for-health-professions-chp-157/,139385,93,text/html; charset=UTF-8
http://keck.usc.edu/en/Research/Research_at_KSOM/Research_Administrative_Structure.aspx,57527,184,text/html; charset=utf-8
